,City Name,Latitude,Longitude,Country,UTC +/- (Hours),Max Temperature,Humidity,Cloudiness,Wind Speed
0,Tautira,-17.7333,-149.15,PF,-10.0,82.42,77,26,16.04
1,Butaritari,3.0707,172.7902,KI,12.0,84.16,70,9,20.83
2,Tezu,27.9167,96.1667,IN,5.5,94.77,53,40,4.21
3,Lüderitz,-26.6481,15.1594,NA,2.0,63.01,58,0,20.54
4,Teknāf,20.8624,92.3058,BD,6.0,86.9,70,80,19.69
5,Puerto Ayora,-0.7393,-90.3518,EC,-6.0,70.68,87,94,12.46
6,Albany,42.6001,-73.9662,US,-4.0,73.8,52,0,8.5
7,Wonthaggi,-38.6044,145.5913,AU,10.0,53.35,65,64,22.15
8,Mahébourg,-20.4081,57.7,MU,4.0,73.18,64,41,22.5
9,Cururupu,-1.8283,-44.8683,BR,-3.0,87.13,58,41,10.76
10,Kapaa,22.0752,-159.319,US,-10.0,80.11,63,33,18.12
11,Guerrero Negro,27.9769,-114.0611,MX,-6.0,78.94,59,97,15.55
12,Ziro,27.6333,93.8333,IN,5.5,70.07,76,67,3.24
13,Ixtapa,20.7,-105.2,MX,-5.0,87.22,75,94,4
14,Panama City,8.9936,-79.5197,PA,-5.0,84.2,79,100,7.14
15,Saskylakh,71.9167,114.0833,RU,9.0,60.84,76,98,16.35
16,Rikitea,-23.1203,-134.9692,PF,-9.0,74.88,73,100,11.54
17,Kutum,14.2,24.6667,SD,2.0,86.34,43,100,14.36
18,Visby,57.6409,18.296,SE,2.0,55.22,57,2,13.8
19,Coyhaique,-45.5752,-72.0662,CL,-4.0,48.92,78,90,7.2
20,Puerto Varas,-41.3195,-72.9854,CL,-4.0,49.66,92,100,10.51
21,San Miguel de Cozumel,20.5083,-86.9458,MX,-5.0,83.25,86,99,9.75
22,Ushuaia,-54.8,-68.3,AR,-3.0,44.42,80,98,5.88
23,Faanui,-16.4833,-151.75,PF,-10.0,79.16,75,11,16.82
24,Katangli,51.7102,143.2326,RU,11.0,66,67,11,10.45
25,Arraial do Cabo,-22.9661,-42.0278,BR,-3.0,74.55,76,0,22.17
26,Dunedin,-45.8742,170.5036,NZ,12.0,55.8,75,100,12.39
27,Upernavik,72.7868,-56.1549,GL,-2.0,36.54,99,100,14.67
28,Ishigaki,24.3448,124.1572,JP,9.0,84.99,77,60,15.73
29,Quatre Cocos,-20.2078,57.7625,MU,4.0,73.42,63,36,21.97
30,Bredasdorp,-34.5322,20.0403,ZA,2.0,63.21,56,100,6.13
31,Saint-Pierre,-21.3393,55.4781,RE,4.0,75.4,58,3,16.53
32,Turaif,31.6725,38.6637,SA,3.0,96.3,11,0,16.62
33,Hays,30.0502,-98.0336,US,-5.0,94.53,46,22,14.29
34,Mataura,-46.1927,168.8643,NZ,12.0,59.04,76,100,10.74
35,Cape Town,-33.9258,18.4232,ZA,2.0,59.72,69,100,19.04
36,Abbeville,50.1,1.8333,FR,2.0,78.57,68,66,7.61
37,Macheng,31.1783,115.0319,CN,8.0,84.29,74,89,10.78
38,Carnarvon,-24.8667,113.6333,AU,8.0,79,24,0,24.38
39,Bluff,-46.6,168.3333,NZ,12.0,54.55,93,100,19.24
40,Baia Mare,47.6533,23.5795,RO,3.0,70.59,51,37,6.24
41,Beipiao,41.7919,120.7792,CN,8.0,76.71,66,94,12.88
42,Tasiilaq,65.6145,-37.6368,GL,-2.0,48.36,83,96,8.68
43,Nikolskoye,59.7035,30.7861,RU,3.0,51.17,69,85,11.72
44,Ekibastuz,51.6667,75.3667,KZ,6.0,90.97,19,1,16.46
45,Punta Arenas,-53.15,-70.9167,CL,-3.0,47.68,69,99,14.07
46,Asău,46.4333,26.4,RO,3.0,71.33,43,5,5.3
47,Busselton,-33.65,115.3333,AU,8.0,61.09,63,31,8.3
48,Hermanus,-34.4187,19.2345,ZA,2.0,61.65,59,97,21.83
49,Deputatsky,69.3,139.9,RU,10.0,38.77,65,100,25.48
50,Atambua,-9.1061,124.8925,ID,8.0,87.12,48,75,6.42
51,Yellowknife,62.456,-114.3525,CA,-6.0,65.71,70,76,19.37
52,Tiksi,71.6872,128.8694,RU,9.0,50.56,62,100,31.5
53,Port Alfred,-33.5906,26.891,ZA,2.0,67.84,71,29,20.49
54,Charters Towers,-20.1,146.2667,AU,10.0,83.21,42,1,11.95
55,Airai,-8.9266,125.4092,TL,9.0,78.51,40,41,5.46
56,Vaini,-21.2,-175.2,TO,13.0,74.41,89,94,27.25
57,Seydi,39.4816,62.9137,TM,5.0,95.67,19,0,22.26
58,Cayenne,4.9333,-52.3333,GF,-3.0,84.85,71,17,10.78
